OBJECTID,Damage,Street_Number,Street_Name,Street_Type,City,Zip_Code,CAL_FIRE_Unit,County,Community,Incident_Start_Date,Structure_Defense_Actions_Taken,Structure_Type,Structure_Category,Number_of_Units,Roof_Construction,Eaves,Vent_Screen,Exterior_Siding,Window_Pane,DeckPorch_On_Grade,DeckPorch_Elevated,Patio_CoverCarport_Attached_to_Structure,Fence_Attached_to_Structure,Distance_Propane_Tank_to_Structure,Distance_Residence_to_UtilityMisc_Structure,Assessed_Improved_Value,Year_Built,Site_Address,Latitude,Longitude,Year_Built_Known
28961,Destroyed (>50%),1020.0,Maple Park,Drive,Paradise,95969,BTU,Butte,Paradise ,2018-11-08 00:00:00,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,Unenclosed,No Vents,Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,60895.0,1948,1020  MAPLE PARK DR   PARADISE CA 95969,39.7629747554898,-121.608810010097,1
40645,Destroyed (>50%),1080.0,Pearson,Road,Paradise,95969,BTU,Butte,Paradise ,2018-11-08 00:00:00,Unknown,Mobile Home Single Wide,Single Residence,Unknown,Metal,No Eaves,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,369691.0,1969,1080  PEARSON RD   PARADISE CA 95969,39.7489342722552,-121.594580487588,1
129698,Destroyed (>50%),18912.0,Pacific Coast,Highway,Malibu,90265,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Stucco Brick Cement,Multi Pane,Unknown,Wood,Unknown,Unknown,Unknown,Unknown,492139.0,1978,"18912 PACIFIC COAST HWY, MALIBU, CA 90265",34.0390329,-118.5875503,1
1674,Destroyed (>50%),12756.0,Pallet Mesa,Road,Pearblossom,93553,LAC,Los Angeles,Unknown,2020-09-06 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unknown,Unknown,Stucco Brick Cement,Single Pane,Unknown,Unknown,Combustible,No Fence,Unknown,Unknown,110926.0,1947,12756 PALLET MESA RD PEARBLOSSOM CA 93553,34.4295447036344,-117.901320287867,1
22283,Destroyed (>50%),6969.0,Bonny Doon,Road,Santa Cruz,95060,CZU,Santa Cruz,Unknown,2020-08-16 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,Unknown,Wood,Unknown,Unknown,>30,Unknown,423785.0,1978,6969 BONNY DOON RD SANTA CRUZ CA 95060,37.0665791539932,-122.147306952303,1
82058,No Damage,2474.0,Rainbow ,Road,South Lake Tahoe,96150,AEU,El Dorado,Unknown,2021-08-14 00:00:00,Engine Company Actions,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,>50',67039.0,1961,2474 RAINBOW RD SOUTH LAKE TAHOE CA 96150,38.8368511415559,-120.019615829102,0
121599,Destroyed (>50%),20038.0,Pacific Coast,Highway,Malibu,90265,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Multi Family Residence Multi Story,Multiple Residence,2.0,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,Masonry/Concrete,Wood,Combustible,No Fence,Unknown,Unknown,234164.0,1948,"20038 PACIFIC COAST HWY, MALIBU, CA 90265",34.0368597,-118.611576,1
102058,No Damage,1610.0,Carriage House,Road,Pasadena,91107,LAC,Los Angeles,Pasadena,2025-01-07 08:02:01,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,Masonry/Concrete,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,291312.0,1959,"1610 CARRIAGE HOUSE RD, PASADENA, CA 91107",34.1744758,-118.0692393,1
78475,Destroyed (>50%),1181.0,H,Street,Wofford Heights,93285,KRN,Kern,Unknown,2021-08-18 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Wood,Multi Pane,Unknown,Unknown,No Patio Cover/Carport,No Fence,Unknown,Unknown,66183.0,1961,1181 H ST WOFFORD HEIGHTS CA 93285,35.675494385204,-118.498242332034,0
84823,Destroyed (>50%),29736.0,Hwy 89,Unknown,Canyon Dam,95923,LMU,Plumas,Unknown,2021-07-13 00:00:00,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,11482.0,1961,29736 HIGHWAY 89 CANYON DAM CA 95923,40.1724899954454,-121.074305153167,0
120250,No Damage,17965.0,Surfview,Lane,Pacific Palisades,90272,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Engine Company Actions,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,1384504.0,1965,"17965 SURFVIEW LN, PACIFIC PALISADES, CA 90272",34.0478058,-118.5654764,1
101550,Destroyed (>50%),405.0,W Mendocino,Street,Altadena,91001,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,135750.0,1922,"405 W MENDOCINO ST, ALTADENA, CA 91001",34.1940971,-118.1567148,1
27104,No Damage,150.0,Coralwood,Unknown,Irvine,92618,ORC,Orange,Unknown,2020-10-26 00:00:00,Unknown,Multi Family Residence Multi Story,Multiple Residence,7.0,Tile,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,No Fence,Unknown,Unknown,196568.0,2009,62 CORALWOOD IRVINE CA 92618,33.7009670064963,-117.732660332937,1
40962,Destroyed (>50%),4524.0,Jason,Court,Unincorporated,95926,BTU,Butte,Chico,2018-11-08 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Tile,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,Unknown,Unknown,87997.0,1978,4524  JASON CT   CHICO CA 95926,39.7431009495032,-121.688174667958,1
119441,No Damage,1120.0,N Vinedo,Avenue,Pasadena,91107,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,Enclosed,No Vents,Stucco Brick Cement,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,44605.0,1927,"1120 N VINEDO AVE, PASADENA, CA 91107",34.1654925,-118.0945908,1
31491,Destroyed (>50%),1671.0,Cameo,Lane,Paradise,95969,BTU,Butte,paradise,2018-11-08 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unknown,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,130000.0,1970,1671  CAMEO LN   PARADISE CA 95969,39.7611909142,-121.581261375279,1
36312,Destroyed (>50%),5430.0,Sawmill ,Road,Paradise,95969,BTU,Butte,Paradise ,2018-11-08 00:00:00,Unknown,Mobile Home Double Wide,Single Residence,Unknown,Asphalt,Enclosed,No Vents,Combustible,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,Unknown,Unknown,531930.0,1961,5430  SAWMILL RD   PARADISE CA 95969,39.7448568613101,-121.587519647708,0
19147,Destroyed (>50%),8212.0,Pleasants Valley ,Road,Vacaville,95688,LNU,Solano,Unknown,2020-08-16 00:00:00,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,128545.0,1961,8212 PLEASANTS VALLEY RD VACAVILLE CA 95688,38.4648650882918,-122.049511736726,0
96664,No Damage,10421.0,Cohasset ,Road,Chico,95973,BTU,Butte,Cohasset ,2024-07-24 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Metal,Unenclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Wood,Wood,Combustible,No Fence,Unknown,Unknown,353619.0,1986,"10421 COHASSET RD, CHICO, CA 95973",39.9413427,-121.7278048,1
86523,No Damage,560.0,N Arm,Road,Greenville,95947,LMU,Plumas,Unknown,2021-07-13 00:00:00,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,98886.0,1961,560 N ARM RD GREENVILLE CA 95947,40.0965285661111,-120.825474646464,0
71447,Destroyed (>50%),3755.0,Boulder Point ,Place,Santa Rosa,95404,LNU,Sonoma,Fountaingrove,2017-10-08 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,809580.0,1961,3755 BOULDER PT SANTA ROSA CA 95404,38.4860909716586,-122.693132808736,0
105666,Destroyed (>50%),3301.0,Thurin,Avenue,Altadena,91001,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Unknown,Masonry/Concrete,Unknown,Combustible,Unknown,Unknown,Unknown,188088.0,1947,"3301 THURIN AVE, ALTADENA, CA 91001",34.2013354,-118.1549356,1
38910,Destroyed (>50%),5360.0,Clark,Road,Paradise,95969,BTU,Butte,Paradise,2018-11-08 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,Unknown,Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,69014.0,1958,5360  CLARK RD   PARADISE CA 95969,39.7425362921228,-121.607110932078,1
10558,Destroyed (>50%),14.0,Upland,Road,Saint Helena,94574,LNU,Napa,Unknown,2020-09-27 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Metal,Unknown,"Mesh Screen <= 1/8""""",Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,187181.0,1971,14 UPLAND RD SAINT HELENA CA 94574,38.5399712342876,-122.471493014805,1
114182,No Damage,1382.0,Coolidge,Drive,Pasadena,91104,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,286110.0,1927,"1382 COOLIDGE AVE, PASADENA, CA 91104",34.1700169,-118.1001615,1
