OBJECTID,Damage,City,Zip_Code,CAL_FIRE_Unit,County,Incident_Start_Date,Structure_Defense_Actions_Taken,Structure_Type,Structure_Category,Number_of_Units,Roof_Construction,Eaves,Vent_Screen,Exterior_Siding,Window_Pane,DeckPorch_On_Grade,DeckPorch_Elevated,Patio_CoverCarport_Attached_to_Structure,Fence_Attached_to_Structure,Distance_Propane_Tank_to_Structure,Distance_Residence_to_UtilityMisc_Structure,Assessed_Improved_Value,Year_Built,Latitude,Longitude,Zip_Code_Prefix,Year_Built_Known,Incident_Start_Year,Incident_Start_Month,Incident_Start_Month_Name,Incident_Start_Weekday,Assessed_Improved_Value_Known
49995,Destroyed (>50%),Malibu,90265,LAC,Los Angeles,2018-11-08,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,No Deck/Porch,Unknown,No Patio Cover/Carport,No Fence,Unknown,Unknown,345800.0,1961,34.0310160017381,-118.817265425357,902,1,2018,11,November,Thursday,1
30992,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Commercial Building Single Story,Nonresidential Commercial,Unknown,Asphalt,No Eaves,No Vents,Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,63773.0,1975,39.766251527987,-121.602213058434,959,1,2018,11,November,Thursday,1
35432,Destroyed (>50%),Unincorporated,95969,BTU,Butte,2018-11-08,Unknown,Mobile Home Double Wide,Single Residence,Unknown,Metal,No Eaves,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,0.0,1986,39.7294871459853,-121.568600363358,959,1,2018,11,November,Thursday,1
122077,No Damage,Pacific Palisades,90272,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,418434.0,1956,34.0445593,-118.5626889,902,1,2025,1,January,Tuesday,1
86374,No Damage,Janesville,96114,LMU,Lassen,2021-07-13,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Metal,No Eaves,No Vents,Metal,No Windows,No Deck/Porch,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,183432.0,1961,40.2643294729502,-120.478013633803,961,0,2021,7,July,Tuesday,1
3162,Destroyed (>50%),Oroville,95966,BTU,Butte,2020-09-09,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,209878.0,1992,39.5694966651979,-121.362082551103,959,1,2020,9,September,Wednesday,1
27179,No Damage,Yorba Linda,92887,ORC,Orange,2020-10-26,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Tile,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,Unknown,Unknown,300942.0,1989,33.878390925822,-117.696220692663,928,1,2020,10,October,Monday,1
40320,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Combustible,Unknown,<=30,255000.0,1955,39.7752379583876,-121.624011401048,959,1,2018,11,November,Thursday,1
102621,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,Unknown,Unknown,130756.0,1960,34.2040159,-118.1388457,910,1,2025,1,January,Tuesday,1
1376,Destroyed (>50%),Kettenpom,95595,HUU,Trinity,2020-08-17,Unknown,Mobile Home Single Wide,Single Residence,Unknown,Metal,No Eaves,No Vents,Metal,Single Pane,Wood,No Deck/Porch,Non Combustible,No Fence,21-30,Unknown,33266.0,1961,40.1206489971455,-123.44028069189,955,0,2020,8,August,Monday,1
32210,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Commercial Building Multi Story,Nonresidential Commercial,Unknown,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,191307.0,1948,39.7608547190333,-121.568046537612,959,1,2018,11,November,Thursday,1
106026,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,Masonry/Concrete,Masonry/Concrete,Combustible,No Fence,Unknown,Unknown,256567.0,1907,34.1907168,-118.1557876,910,1,2025,1,January,Tuesday,1
45956,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Mobile Home Double Wide,Single Residence,Unknown,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Masonry/Concrete,Wood,Non Combustible,No Fence,Unknown,<=30,0.0,1900,39.7824349034255,-121.591804334932,959,1,2018,11,November,Thursday,1
49536,Destroyed (>50%),Los Angeles,90265,LAC,Los Angeles,2018-11-08,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Wood,Unknown,Unknown,Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,Unknown,Unknown,Unknown,86099.0,1949,34.0601873990474,-118.740267094347,902,1,2018,11,November,Thursday,1
30474,Destroyed (>50%),Concow,95965,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Metal,Unenclosed,"Mesh Screen > 1/8""""",Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,>30,Unknown,22518.0,1961,39.789098951305,-121.496406230572,959,0,2018,11,November,Thursday,1
19587,No Damage,Saint Helena,94574,LNU,Napa,2020-08-16,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,1971,38.5574044901222,-122.360335836382,945,1,2020,8,August,Sunday,1
