OBJECTID,Damage,City,Zip_Code,CAL_FIRE_Unit,County,Incident_Start_Date,Structure_Defense_Actions_Taken,Structure_Type,Structure_Category,Number_of_Units,Roof_Construction,Eaves,Vent_Screen,Exterior_Siding,Window_Pane,DeckPorch_On_Grade,DeckPorch_Elevated,Patio_CoverCarport_Attached_to_Structure,Fence_Attached_to_Structure,Distance_Propane_Tank_to_Structure,Distance_Residence_to_UtilityMisc_Structure,Assessed_Improved_Value,Year_Built,Latitude,Longitude,Zip_Code_Prefix,Year_Built_Known,Incident_Start_Year,Incident_Start_Month,Incident_Start_Month_Name,Incident_Start_Weekday,Assessed_Improved_Value_Known,Damage_Binary
6746,No Damage,North Fork,93643,MMU,Madera,2020-09-04,Unknown,Single Family Residence Single Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,52766.0,1988,37.418593590798,-119.367441856848,936,1,2020,9,September,Friday,1,0
108136,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unknown,No Vents,Stucco Brick Cement,Unknown,Masonry/Concrete,Unknown,Unknown,Non Combustible,Unknown,<=30,161524.0,1926,34.202412,-118.1408543,910,1,2025,1,January,Tuesday,1,1
127038,Destroyed (>50%),Pacific Palisades,90272,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Stucco Brick Cement,Multi Pane,Wood,Wood,No Patio Cover/Carport,Combustible,Unknown,Unknown,169339.0,1948,34.0525664,-118.5231114,902,1,2025,1,January,Tuesday,1,1
53429,No Damage,Paradise,95969,BTU,Butte,2018-11-08,Unknown,Mobile Home Double Wide,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,1900,39.7837220110715,-121.589711333982,959,1,2018,11,November,Thursday,1,0
128859,Destroyed (>50%),Pacific Palisades,90272,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unknown,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,Combustible,Unknown,Unknown,501463.0,1930,34.0498395,-118.5190286,902,1,2025,1,January,Tuesday,1,1
55004,No Damage,Paradise,95969,BTU,Butte,2018-11-08,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,145000.0,1946,39.7346316433418,-121.636421558426,959,1,2018,11,November,Thursday,1,0
26339,No Damage,Tracy,95377,SCU,San Joaquin,2020-08-18,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10987.0,1961,37.5358961881432,-121.519275038019,953,0,2020,8,August,Tuesday,1,0
111218,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,Masonry/Concrete,Unknown,Unknown,Unknown,Unknown,Unknown,279513.0,1951,34.179757,-118.1179005,910,1,2025,1,January,Tuesday,1,1
83180,No Damage,South Lake Tahoe,96150,AEU,El Dorado,2021-08-14,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Wood,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,Unknown,Unknown,215192.0,1961,38.8510107513856,-120.015462683084,961,0,2021,8,August,Saturday,1,0
8839,No Damage,Unknown,Unknown,FKU,Fresno,2020-09-04,Unknown,Single Family Residence Single Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,1961,37.0476415140883,-119.319968368042,Unknown,0,2020,9,September,Friday,1,0
127670,Destroyed (>50%),Pacific Palisades,90272,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Tile,Unknown,No Vents,Stucco Brick Cement,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,23064.0,1923,34.0509869,-118.5215334,902,1,2025,1,January,Tuesday,1,1
25882,No Damage,Livermore,94550,SCU,Alameda,2020-08-18,Unknown,Motor Home,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,659.0,1920,37.5088743442254,-121.703218069505,945,1,2020,8,August,Tuesday,1,0
115423,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,Unknown,Unknown,No Patio Cover/Carport,No Fence,Unknown,Unknown,340000.0,1949,34.1926525,-118.1261198,910,1,2025,1,January,Tuesday,1,1
104723,No Damage,Sierra Madre,91024,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Enclosed,No Vents,Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,123224.0,1934,34.174448,-118.0448848,910,1,2025,1,January,Tuesday,1,0
