OBJECTID,Damage,Street_Number,Street_Name,Street_Type,City,Zip_Code,CAL_FIRE_Unit,County,Community,Incident_Start_Date,Structure_Defense_Actions_Taken,Structure_Type,Structure_Category,Number_of_Units,Roof_Construction,Eaves,Vent_Screen,Exterior_Siding,Window_Pane,DeckPorch_On_Grade,DeckPorch_Elevated,Patio_CoverCarport_Attached_to_Structure,Fence_Attached_to_Structure,Distance_Propane_Tank_to_Structure,Distance_Residence_to_UtilityMisc_Structure_gt_120_SQFT,Assessed_Improved_Value,Year_Built,Site_Address,Latitude,Longitude
57679,Destroyed (>50%),1945.0,Piner,Road,Santa Rosa,00000,LNU,Sonoma,Coffey Park,2017-10-08 00:00:00,Unknown,Mobile Home Double Wide,Single Residence,Unknown,Fire Resistant,Unknown,Unknown,Combustible,Single Pane,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7562995.0,,1945 PINER RD SPC 209 SANTA ROSA CA 95403,38.4708273993227,-122.753080981805
54625,No Damage,Unknown,Unknown,Unknown,Unincorporated,Unknown,BTU,Butte,Unknown,2018-11-08 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,130000.0,2005.0,14719 GOLDCONE DR MAGALIA CA 95954,39.8437934059068,-121.5852552491
41964,Destroyed (>50%),304.0,Valley View,Drive,Paradise Southwest A,Unknown,BTU,Butte,Paradise,2018-11-08 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,210000.0,1978.0,304  VALLEY VIEW DR   PARADISE CA 95969,39.7625642411162,-121.640108766274
114818,No Damage,1608.0,Morada,Place,Altadena,91001,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,No Eaves,No Vents,Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,150047.0,1926.0,"1608 MORADA PL, ALTADENA, CA 91001",34.1790851,-118.1173337
61094,Destroyed (>50%),4195.0,Hidden Hills ,Lane,Unincorporated,00000,LNU,Sonoma,Riebli,2017-10-08 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Fire Resistant,Unknown,Unknown,Combustible,Multi Pane,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,491421.0,,4195 HIDDEN HILLS  LANE  *FIELD COLLECTED,38.5015401430514,-122.709210393059
5019,Destroyed (>50%),54960.0,Redwood,Drive,Unknown,00000,TUU,Tulare,Unknown,2020-08-19 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Metal,Unknown,Unknown,Wood,Unknown,No Deck/Porch,Unknown,No Patio Cover/Carport,No Fence,Unknown,Unknown,142824.0,0.0,54960 REDWOOD DR SPRINGVILLE CA 93265,36.188931635352,-118.631616386247
86845,No Damage,458870.0,Cartwright,Road,Janesville,96114,LMU,Lassen,Janesville ,2021-07-13 00:00:00,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Metal,No Eaves,No Vents,Wood,No Windows,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,Unknown,<30',50979.0,,458-870 CARTWRIGHT RD JANESVILLE CA 96114,40.2513569711167,-120.469393212588
75030,No Damage,0.0,Unknown,Unknown,Unincorporated,Unknown,LNU,Sonoma,Unknown,2019-10-23 00:00:00,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,0.0,Unknown,38.7863516222303,-122.782099187664
83108,No Damage,2704.0,Elati ,Street,South Lake Tahoe,96150,AEU,El Dorado,Unknown,2021-08-14 00:00:00,Engine Company Actions,Single Family Residence Multi Story,Single Residence,0.0,Metal,Enclosed,No Vents,Wood,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,121381.0,,2704 ELATI ST SOUTH LAKE TAHOE CA 96150,38.836925158154,-120.025278840095
71376,Destroyed (>50%),3621.0,Crown Hill,Drive,Santa Rosa,00000,LNU,Sonoma,Fountaingrove,2017-10-08 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Fire Resistant,Unknown,Screened,Fire Resistant,Multi Pane,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,738518.0,,3621 CROWN HILL DR SANTA ROSA CA 95404,38.4852243470152,-122.703415011716
123285,Destroyed (>50%),17900.0,Vicino,Way,Pacific Palisades,90272,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Tile,Unknown,Unknown,Stucco Brick Cement,Unknown,No Deck/Porch,Unknown,No Patio Cover/Carport,No Fence,Unknown,Unknown,207162.0,1949.0,"17900 VICINO WAY, PACIFIC PALISADES, CA 90272",34.0429708,-118.5649983
86204,No Damage,252.0,Back Acres,Court,Greenville,95947,LMU,Plumas,Taylorsville,2021-07-13 00:00:00,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Metal,No Eaves,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,242670.0,,252 BACK ACRES CT GREENVILLE CA 95947,40.1458071272498,-120.794306157682
128907,Destroyed (>50%),16059.0,Temecula ,Street,Pacific Palisades,90272,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,82979.0,1941.0,"16059 TEMECULA ST, PACIFIC PALISADES, CA 90272",34.0464347,-118.5366359
123119,No Damage,16616.0,Calle Brittany ,Unknown,Pacific Palisades,90272,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Tile,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Non Combustible,Non Combustible,Unknown,Unknown,537159.0,,"16616 CALLE BRITTANY, PACIFIC PALISADES, CA 90272",34.073633,-118.5480253
5012,No Damage,54888.0,Chinquapin,Drive,Unknown,00000,TUU,Tulare,Unknown,2020-08-19 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,155769.0,0.0,54888 CHINQUAPIN DR SPRINGVILLE CA 93265,36.1873364523334,-118.631399149357
122488,No Damage,20748.0,Pacific Coast,Highway,Malibu,90265,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unenclosed,No Vents,Wood,Multi Pane,Masonry/Concrete,Wood,Combustible,Combustible,Unknown,Unknown,176030.0,1923.0,"20748 PACIFIC COAST HWY, MALIBU, CA 90265",34.0372627,-118.6266531
52288,Destroyed (>50%),10758.0,Muletown,Road,Unincorporated,Unknown,SHU,Shasta,Unknown,2018-07-23 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,<30',387600.0,1991.0,10758 MULETOWN RD SHASTA CA 96087,40.5748041186973,-122.493691096941
21376,No Damage,0.0,Unknown,Unknown,Unknown,Unknown,CZU,Santa Cruz,Unknown,2020-08-16 00:00:00,Unknown,Multi Family Residence Multi Story,Multiple Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,3600 HIGHWAY 1 DAVENPORT CA 95017,37.097541916826,-122.273833317089
13286,Destroyed (>50%),3100.0,Silverado,Trail,Unknown,Unknown,LNU,Napa,Saint Helena,2020-09-27 00:00:00,Unknown,Commercial Building Multi Story,Nonresidential Commercial,Unknown,Asphalt,Unknown,"Mesh Screen > 1/8""""",Wood,Unknown,Unknown,Unknown,No Patio Cover/Carport,No Fence,>30,Unknown,1565700.0,1977.0,3100 SILVERADO TRL N SAINT HELENA CA 94574,38.5326642553503,-122.489694875822
118306,Destroyed (>50%),513.0,W Loma Alta,Drive,Altadena,91001,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,No Vents,Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,57700.0,1953.0,"513 W LOMA ALTA DR, ALTADENA, CA 91001",34.2024607,-118.1540896
120756,No Damage,226.0,Gairdino,Way,Pacific Palisades,90272,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Engine Company Actions,Single Family Residence Multi Story,Single Residence,Unknown,Metal,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,Wood,Combustible,Combustible,Unknown,Unknown,381572.0,1957.0,"226 GIARDINO WAY, PACIFIC PALISADES, CA 90272",34.0443236,-118.5636061
27126,No Damage,130.0,Coralwood,Unknown,Unknown,Unknown,ORC,Orange,Unknown,2020-10-26 00:00:00,Unknown,Multi Family Residence Multi Story,Multiple Residence,7.0,Tile,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,No Fence,Unknown,Unknown,196568.0,2009.0,62 CORALWOOD IRVINE CA 92618,33.7006579712778,-117.733146240657
5333,No Damage,617.0,Loop,Drive,Unknown,00000,TUU,Tulare,Unknown,2020-08-19 00:00:00,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,No Vents,Wood,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,Unknown,Unknown,0.0,0.0,Unknown,36.1446300637313,-118.613475732839
86167,Destroyed (>50%),0.0,Chester Warner Valley,Road,Chester,96020,LMU,Plumas,Unknown,2021-07-13 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unknown,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Wood,Unknown,Unknown,No Fence,11-20,Unknown,,,11600 CHESTER WARNER VALLEY RD CHESTER CA 96020,40.4231352755637,-121.331224459896
